client,Epoch,Loss,Accuracy
0,1,2.201672361809671,47.05027608253415
0,2,2.158233483004709,46.178436501017146
0,3,2.1541888803773275,46.35280441732055
0,4,1.9901978448102007,65.01017146178437
0,5,1.968321610500721,65.82388840453358
0,6,1.9712780539923382,65.06829410055217
0,7,1.9698456645669837,65.12641673931996
0,8,1.961165278676498,65.94013368206917
0,9,1.9678618458986583,65.18453937808776
0,10,1.9627755431296632,65.70764312699797
1,1,2.1540691288459604,47.77680906713165
1,2,2.146833876877996,47.25370531822144
1,3,2.0925183945295616,57.80296425457716
1,4,1.9999570524025359,63.353676256902055
1,5,1.9888006132070761,63.44086021505376
1,6,1.9694493045565027,65.21360069747166
1,7,1.9639317168946815,65.70764312699797
1,8,1.9647400180543053,65.56233653007847
1,9,1.9763333308410216,64.34176111595467
1,10,1.9625401423000757,65.70764312699797
2,1,2.1555475390777414,46.93403080499854
2,2,2.1553736065895905,46.35280441732055
2,3,2.057964212998436,62.24934612031387
2,4,1.980905320027217,65.03923278116827
2,5,1.9653261052297277,65.91107236268526
2,6,1.9855357906937303,63.55710549258936
2,7,1.9774112466535176,64.34176111595467
2,8,1.9584558580771254,66.20168555652427
2,9,1.9697178327309497,65.03923278116827
2,10,1.9602584918326351,65.94013368206917
3,1,2.155076881932275,46.70154024992735
3,2,2.140712846544817,47.77680906713165
3,3,2.0234317860964546,64.34176111595467
3,4,1.9743640778869387,65.41702993315897
3,5,1.9732674040738551,65.01017146178437
3,6,1.966070348535871,65.53327521069457
3,7,1.9588942823574715,66.20168555652427
3,8,1.9586998763783783,66.11450159837257
3,9,1.9604674753971574,65.94013368206917
3,10,1.9832188978612415,63.615228131357156
4,1,2.1580282747051416,46.236559139784944
4,2,2.1514375311902594,46.70154024992735
4,3,1.9958875925624855,65.59139784946237
4,4,1.9756895972614987,65.15547805870386
4,5,1.9709382603560035,65.18453937808776
4,6,1.9710266903661273,65.03923278116827
4,7,1.9636488186134167,65.70764312699797
4,8,1.9610798508772267,65.94013368206917
4,9,1.9628534833918487,65.70764312699797
4,10,1.9702232449867894,64.92298750363267
5,1,2.1580282747051416,46.236559139784944
5,2,2.1514375311902594,46.70154024992735
5,3,1.9958875925624855,65.59139784946237
5,4,1.9756895972614987,65.15547805870386
5,5,1.9709382603560035,65.18453937808776
5,6,1.9710266903661273,65.03923278116827
5,7,1.9636488186134167,65.70764312699797
5,8,1.9610798508772267,65.94013368206917
5,9,1.9628534833918487,65.70764312699797
5,10,1.9702232449867894,64.92298750363267
