,Accuracy,F1-Score (Fall),Sensitivity (Fall),Specificity (No Fall)
CNN-GAP,0.849112426035503,0.7465208747514911,0.6953703703703704,0.6953703703703704
CNN-Attention,0.8449704142011835,0.7390438247011952,0.687037037037037,0.687037037037037
