train_loss,num-examples
0.6575136085351309,174
0.6519825657208761,174
0.6485347251097361,174
0.6631882985432943,174
0.6440834303696951,174
0.6712826291720072,174
0.6400478184223175,174
0.632649153470993,174
0.637118011713028,174
0.6397157410780588,174
0.6236801048119863,174
0.6364744007587433,174
0.6268651386102041,174
0.6191705266634623,174
0.6189893086751302,174
0.640053004026413,174
0.6330189605553945,174
0.62638987104098,174
0.6422119239966074,174
0.6146727800369263,174
0.6086872021357218,174
0.6036195158958435,174
0.5914397736390432,174
0.5835894445578257,174
0.5803391834100088,174
0.5617360522349676,174
0.583439697821935,174
0.5546281784772873,174
0.5607178459564844,174
0.558727835615476,174
0.6636701126893362,174
0.6775098641713461,174
0.6606350541114807,174
0.6703195869922638,174
0.6702591876188914,174
0.6668182412783304,174
0.6614675919214884,174
0.6486426492532095,174
0.6303783655166626,174
0.6944923599561056,174
0.6986137827237447,174
0.685977021853129,174
0.6813867588837942,174
0.691486249367396,174
0.6794082224369049,174
0.6807704369227091,174
0.6591623822848002,174
1.2847651739915211,174
1.2607204516728718,174
1.2526375899712245,174
1.2440675646066666,174
1.2654387454191844,174
1.2266984383265178,174
1.2512942453225453,174
1.2165770033995311,174
1.217020774881045,174
1.215294897556305,174
1.192344109217326,174
1.245276004076004,174
1.0878450721502304,174
1.0472768247127533,174
1.0522435406843822,174
0.979089597860972,174
1.0193635274966557,174
1.1242345422506332,174
0.9148474459846815,174
0.9475518117348353,174
0.8501842568318049,174
0.8791320870320002,174
0.8158422484993935,174
0.8558540195226669,174
0.9219876627127329,174
0.813601645330588,174
0.7450189267595609,174
0.7983490352829298,174
0.9733537286520004,174
0.7637502178549767,174
0.8046640058358511,174
0.7923777922987938,174
0.9341889123121897,174
0.7256204038858414,174
0.8985168635845184,174
1.0361747468511264,174
0.7617449089884758,174
0.8308458949128786,174
0.9246289258201917,174
0.745375394821167,174
0.6474454166988531,174
0.8897592052817345,174
0.6457393070062002,174
0.5842996289332708,174
0.5941494144499302,174
0.557370693112413,174
0.749352273841699,174
0.8114003439744314,174
0.6562928631901741,174
0.681757020453612,174
0.7630740987757841,174
0.7162796345849832,174
0.5929049998521805,174
0.6183027401566505,174
