Model,Clean F1 (Fall),Noisy F1 (Fall),Performance Drop
EarlyFusion,0.9945249194381003,0.4741230933586563,0.520401826079444
LateFusion,0.9980622577822228,0.5013158516790898,0.49674640610313303
ResidualFusion,0.9977202460885044,0.4967137027692116,0.5010065433192927
