bin,count,mean,std,min,25%,50%,75%,max
Low,12938.0,0.5881019830703735,0.03284492716193199,0.4689328670501709,0.5701747983694077,0.5937002301216125,0.6124340444803238,0.6641049385070801
Med-Low,12874.0,0.5931930541992188,0.031954389065504074,0.4690040349960327,0.5784173458814621,0.5991484224796295,0.6141104102134705,0.6656663417816162
Med-High,12905.0,0.5999209880828857,0.03236193209886551,0.4660746455192566,0.5856620073318481,0.6042618751525879,0.6222069263458252,0.6723455786705017
High,12906.0,0.611367404460907,0.02645757980644703,0.4729853868484497,0.598668247461319,0.6158601641654968,0.6289557367563248,0.671576738357544
