round,accuracy,comm_mb
1,0.628698224852071,0.34883975982666016
2,0.7263313609467456,0.6976795196533203
3,0.7440828402366864,1.0465192794799805
4,0.764792899408284,1.3953590393066406
5,0.7869822485207101,1.7441987991333008
6,0.7884615384615384,2.093038558959961
7,0.7544378698224852,2.441878318786621
8,0.8106508875739645,2.7907180786132812
9,0.8284023668639053,3.1395578384399414
10,0.8328402366863905,3.4883975982666016
11,0.8594674556213018,3.8372373580932617
12,0.8579881656804734,4.186077117919922
13,0.8402366863905325,4.534916877746582
14,0.8594674556213018,4.883756637573242
15,0.8624260355029586,5.232596397399902
16,0.8165680473372781,5.5814361572265625
17,0.8461538461538461,5.930275917053223
18,0.8461538461538461,6.279115676879883
19,0.8195266272189349,6.627955436706543
20,0.8402366863905325,6.976795196533203
21,0.8402366863905325,7.325634956359863
22,0.8387573964497042,7.674474716186523
23,0.8239644970414202,8.023314476013184
24,0.8254437869822485,8.372154235839844
25,0.8224852071005917,8.720993995666504
26,0.8431952662721893,9.069833755493164
27,0.8520710059171598,9.418673515319824
28,0.8476331360946746,9.767513275146484
29,0.8328402366863905,10.116353034973145
30,0.8387573964497042,10.465192794799805
31,0.8210059171597633,10.814032554626465
32,0.8298816568047337,11.162872314453125
33,0.849112426035503,11.511712074279785
34,0.841715976331361,11.860551834106445
35,0.8402366863905325,12.209391593933105
36,0.8476331360946746,12.558231353759766
37,0.8446745562130178,12.907071113586426
38,0.8461538461538461,13.255910873413086
39,0.841715976331361,13.604750633239746
40,0.8461538461538461,13.953590393066406
41,0.8520710059171598,14.302430152893066
42,0.8298816568047337,14.651269912719727
43,0.8387573964497042,15.000109672546387
44,0.8402366863905325,15.348949432373047
45,0.8357988165680473,15.697789192199707
46,0.8372781065088757,16.046628952026367
47,0.8357988165680473,16.395468711853027
48,0.8402366863905325,16.744308471679688
49,0.8017751479289941,17.093148231506348
50,0.7544378698224852,17.441987991333008
