round,accuracy,comm_mb
1,0.4911242603550296,0.34853458404541016
2,0.606508875739645,0.6970691680908203
3,0.6168639053254438,1.0456037521362305
4,0.8062130177514792,1.3941383361816406
5,0.8594674556213018,1.7426729202270508
6,0.8047337278106509,2.091207504272461
7,0.8653846153846154,2.439742088317871
8,0.8579881656804734,2.7882766723632812
9,0.7899408284023669,3.1368112564086914
10,0.8284023668639053,3.4853458404541016
11,0.841715976331361,3.8338804244995117
12,0.8550295857988166,4.182415008544922
13,0.8668639053254438,4.530949592590332
14,0.8387573964497042,4.879484176635742
15,0.8254437869822485,5.228018760681152
16,0.8150887573964497,5.5765533447265625
17,0.8224852071005917,5.925087928771973
18,0.8076923076923077,6.273622512817383
19,0.8195266272189349,6.622157096862793
20,0.8180473372781065,6.970691680908203
21,0.8461538461538461,7.319226264953613
22,0.8594674556213018,7.667760848999023
23,0.8579881656804734,8.016295433044434
24,0.8520710059171598,8.364830017089844
25,0.8624260355029586,8.713364601135254
26,0.8579881656804734,9.061899185180664
27,0.8698224852071006,9.410433769226074
28,0.8594674556213018,9.758968353271484
29,0.8594674556213018,10.107502937316895
30,0.8653846153846154,10.456037521362305
31,0.8313609467455622,10.804572105407715
32,0.8668639053254438,11.153106689453125
33,0.8653846153846154,11.501641273498535
34,0.8653846153846154,11.850175857543945
35,0.8476331360946746,12.198710441589355
36,0.8476331360946746,12.547245025634766
37,0.863905325443787,12.895779609680176
38,0.8653846153846154,13.244314193725586
39,0.849112426035503,13.592848777770996
40,0.8387573964497042,13.941383361816406
41,0.8653846153846154,14.289917945861816
42,0.8624260355029586,14.638452529907227
43,0.8579881656804734,14.986987113952637
44,0.856508875739645,15.335521697998047
45,0.849112426035503,15.684056282043457
46,0.8683431952662722,16.032590866088867
47,0.8520710059171598,16.381125450134277
48,0.8594674556213018,16.729660034179688
49,0.8402366863905325,17.078194618225098
50,0.8328402366863905,17.426729202270508
